

	Started monitoring at 6/27/2016 7:34:24 PM

Settings:
Block Packets With no Process: True
Blocked ports: 137, 7533

Number    Date        Time      Protocol  Application                   Source IP         Source Port    Destination IP    Destination Port  Packet Length
64        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              52        
65        2016-06-27  19:34:32  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
66        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             52        
67        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              40        
68        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              213       
69        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              206       
70        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             1500      
71        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
72        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
73        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             79        
74        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             1488      
75        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              40        
76        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              306       
77        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             99        
78        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             976       
79        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             130       
80        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
81        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              914       
82        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             434       
83        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
84        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
85        2016-06-27  19:34:32  UDP       svchost                       10.11.211.212     65087          239.255.255.250   1900              161       
86        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             40        
87        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              274       
88        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              914       
89        2016-06-27  19:34:32  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             130       
90        2016-06-27  19:34:33  TCP       VsHub                         10.11.1.1         3128           10.11.1.136       52528             434       
91        2016-06-27  19:34:33  TCP       VsHub                         10.11.1.136       52528          10.11.1.1         3128              40        
92        2016-06-27  19:34:33  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
93        2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             40        
94        2016-06-27  19:34:35  TCP       chrome                        10.11.1.136       51702          10.11.1.1         3128              688       
95        2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             318       
96        2016-06-27  19:34:35  TCP       chrome                        10.11.1.136       51702          10.11.1.1         3128              86        
97        2016-06-27  19:34:35  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
98        2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             86        
99        2016-06-27  19:34:35  TCP       chrome                        10.11.1.136       51702          10.11.1.1         3128              40        
100       2016-06-27  19:34:35  TCP       chrome                        10.11.1.136       51702          10.11.1.1         3128              118       
101       2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             40        
102       2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             88        
103       2016-06-27  19:34:35  TCP       chrome                        10.11.1.136       51702          10.11.1.1         3128              40        
104       2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             82        
105       2016-06-27  19:34:35  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51702             40        
106       2016-06-27  19:34:36  TCP       chrome                        10.11.1.136       51681          10.11.1.1         3128              41        
107       2016-06-27  19:34:36  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51681             52        
108       2016-06-27  19:34:36  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
109       2016-06-27  19:34:38  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
110       2016-06-27  19:34:39  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              95        
111       2016-06-27  19:34:39  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
112       2016-06-27  19:34:39  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             44        
113       2016-06-27  19:34:39  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
114       2016-06-27  19:34:39  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              178       
115       2016-06-27  19:34:39  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             477       
116       2016-06-27  19:34:39  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
117       2016-06-27  19:34:40  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
118       2016-06-27  19:34:40  UDP       svchost                       10.11.153.2       55588          239.255.255.250   1900              153       
119       2016-06-27  19:34:40  UDP       svchost                       10.11.153.2       55588          239.255.255.250   1900              151       
120       2016-06-27  19:34:40  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             43        
121       2016-06-27  19:34:40  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
122       2016-06-27  19:34:40  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             96        
123       2016-06-27  19:34:41  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
124       2016-06-27  19:34:41  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
125       2016-06-27  19:34:41  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51681             151       
126       2016-06-27  19:34:41  TCP       chrome                        10.11.1.136       51681          10.11.1.1         3128              283       
127       2016-06-27  19:34:41  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51681             40        
128       2016-06-27  19:34:41  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51681             82        
129       2016-06-27  19:34:41  TCP       chrome                        10.11.1.136       51681          10.11.1.1         3128              40        
130       2016-06-27  19:34:42  TCP       devenv                        10.11.1.1         3128           10.11.1.136       52529             52        
131       2016-06-27  19:34:42  TCP       devenv                        10.11.1.136       52529          10.11.1.1         3128              52        
132       2016-06-27  19:34:42  TCP       devenv                        10.11.1.136       52529          10.11.1.1         3128              40        
133       2016-06-27  19:34:42  TCP       devenv                        10.11.1.136       52529          10.11.1.1         3128              463       
134       2016-06-27  19:34:42  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
135       2016-06-27  19:34:42  TCP       devenv                        10.11.1.1         3128           10.11.1.136       52529             40        
136       2016-06-27  19:34:42  TCP       devenv                        10.11.1.1         3128           10.11.1.136       52529             45        
137       2016-06-27  19:34:42  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
138       2016-06-27  19:34:42  TCP       devenv                        10.11.1.1         3128           10.11.1.136       52529             111       
139       2016-06-27  19:34:42  TCP       devenv                        10.11.1.136       52529          10.11.1.1         3128              40        
140       2016-06-27  19:34:42  TCP       devenv                        10.11.1.1         3128           10.11.1.136       52529             460       
141       2016-06-27  19:34:43  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
142       2016-06-27  19:34:43  UDP       svchost                       10.11.153.2       55588          239.255.255.250   1900              151       
143       2016-06-27  19:34:43  UDP       svchost                       10.11.153.2       55588          239.255.255.250   1900              153       
144       2016-06-27  19:34:43  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              262       
145       2016-06-27  19:34:43  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              86        
146       2016-06-27  19:34:43  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             86        
147       2016-06-27  19:34:43  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             40        
148       2016-06-27  19:34:43  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             40        
149       2016-06-27  19:34:43  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              40        
150       2016-06-27  19:34:43  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             1447      
151       2016-06-27  19:34:43  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              40        
152       2016-06-27  19:34:44  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52505             59        
153       2016-06-27  19:34:44  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52505             40        
154       2016-06-27  19:34:44  TCP       Skype                         10.11.1.136       52505          10.11.1.1         3128              44        
155       2016-06-27  19:34:44  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52509             40        
156       2016-06-27  19:34:44  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52509             56        
157       2016-06-27  19:34:44  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52509             43        
158       2016-06-27  19:34:44  TCP       Skype                         10.11.1.136       52509          10.11.1.1         3128              40        
159       2016-06-27  19:34:44  TCP       Skype                         10.11.1.136       52509          10.11.1.1         3128              44        
160       2016-06-27  19:34:46  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
161       2016-06-27  19:34:46  UDP       svchost                       10.11.153.2       55588          239.255.255.250   1900              153       
162       2016-06-27  19:34:48  TCP       chrome                        10.11.1.136       51981          10.11.1.1         3128              41        
163       2016-06-27  19:34:48  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51981             52        
164       2016-06-27  19:34:48  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51676             52        
165       2016-06-27  19:34:48  TCP       chrome                        10.11.1.136       51676          10.11.1.1         3128              41        
166       2016-06-27  19:34:49  UDP       svchost                       10.11.54.16       5353           224.0.0.251       5353              65        
167       2016-06-27  19:34:52  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
168       2016-06-27  19:34:52  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
169       2016-06-27  19:34:52  UDP       svchost                       10.11.4.1         1900           239.255.255.250   1900              394       
170       2016-06-27  19:34:59  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51672             662       
171       2016-06-27  19:34:59  TCP       chrome                        10.11.1.136       51672          10.11.1.1         3128              40        
172       2016-06-27  19:35:00  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52512             55        
173       2016-06-27  19:35:00  TCP       Skype                         10.11.1.136       52512          10.11.1.1         3128              44        
174       2016-06-27  19:35:00  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52512             40        
175       2016-06-27  19:35:00  UDP       svchost                       10.11.211.212     51958          224.0.0.252       5355              50        
176       2016-06-27  19:35:01  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52511             55        
177       2016-06-27  19:35:01  TCP       Skype                         10.11.1.136       52511          10.11.1.1         3128              44        
178       2016-06-27  19:35:01  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52511             40        
179       2016-06-27  19:35:01  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              519       
180       2016-06-27  19:35:01  TCP       chrome                        10.11.1.136       51672          10.11.1.1         3128              1500      
181       2016-06-27  19:35:01  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51672             40        
182       2016-06-27  19:35:01  TCP       chrome                        10.11.1.136       51672          10.11.1.1         3128              234       
183       2016-06-27  19:35:01  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51672             40        
184       2016-06-27  19:35:01  TCP       chrome                        10.11.1.136       51672          10.11.1.1         3128              298       
185       2016-06-27  19:35:01  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              467       
186       2016-06-27  19:35:02  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
187       2016-06-27  19:35:02  UDP       svchost                       10.11.5.202       34813          239.255.255.250   1900              164       
188       2016-06-27  19:35:03  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              531       
189       2016-06-27  19:35:03  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              547       
190       2016-06-27  19:35:03  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              476       
191       2016-06-27  19:35:03  TCP       chrome                        10.11.1.136       52465          10.11.1.1         3128              41        
192       2016-06-27  19:35:03  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52465             52        
193       2016-06-27  19:35:03  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              533       
194       2016-06-27  19:35:04  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              519       
195       2016-06-27  19:35:04  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              467       
196       2016-06-27  19:35:06  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              531       
197       2016-06-27  19:35:06  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              547       
198       2016-06-27  19:35:06  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              476       
199       2016-06-27  19:35:06  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              533       
200       2016-06-27  19:35:07  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              519       
201       2016-06-27  19:35:07  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              467       
202       2016-06-27  19:35:08  TCP       OneDrive                      10.11.1.136       51697          10.11.1.1         3128              93        
203       2016-06-27  19:35:08  TCP       OneDrive                      10.11.1.1         3128           10.11.1.136       51697             40        
204       2016-06-27  19:35:08  TCP       OneDrive                      10.11.1.1         3128           10.11.1.136       51697             178       
205       2016-06-27  19:35:08  TCP       OneDrive                      10.11.1.136       51697          10.11.1.1         3128              40        
206       2016-06-27  19:35:09  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              531       
207       2016-06-27  19:35:09  UDP       System                        10.11.10.5        138            10.11.255.255     138               229       
208       2016-06-27  19:35:09  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              547       
209       2016-06-27  19:35:09  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              476       
210       2016-06-27  19:35:09  UDP       svchost                       10.11.7.100       1900           239.255.255.250   1900              533       
